Question,Answer
커널 모드란?,메인 메모리의 한 부분인 커널 프로그램이 탑재되는 커널 공간의 프로그램을 수행할 때의 모드입니다.
캐시란?,"CPU내의 레지스터와 메인 메모리 사이에 접근속도 또는 전송량의 심한 격차를 완화시켜 줍니다. 이를 위해서 레지스터와 메인메모리 사이에 캐시를 위치시킨 후 CPU에서 메인메모리에 접근시 그 자료를 캐시에 복사해 놓고, 다음번 접근시에 캐시를 먼저 방문하여 찾는 자료가 있으면 캐시에서 갖고 가고, 없으면 메인메모리까지 가서 가져옵니다."
Hit Ratio란?,찾는 데이터가 캐시에 있을 확률을 말합니다. Hit Ratio가 높을 수록 캐시를 사용하는 효과가 증가합니다.
부트스트래핑이란?,"부트스트랩에서 나온 말로, 원래 부트스트랩이라는 것은 장화 뒤쪽에 달린 고리를 지칭하는 겁니다. 장화를 신을 때 장화에 달린 부트스트랩을 손으로 잡아 당겨 장화를 혼자 신을 수 있도록 도와주는 겁니다. 여기에서 개념이 확장되어 남의 도움 없이 자기가 직접 일을 한다는 의미를 갖게 된 것입니다. 운영체제라는 측면에서 볼 때 운영체제의 시동을 운영체제 일부 기능이 스스로 수행하는 과정을 뜻하는 용도로 사용되게 되었습니다."
모노리틱 커널이란?,"원래 모노리틱 이라는 말이 하나라는 의미를 포함하고 있듯이 커널이 한 통으로 되어 있다라는 것인데, 다시 말해, 프로세스 관리, 메모리 관리, 파일시스템, 입출력 관리 및 네트워크 관리 등 모든 기능을 커널 내부에 포함하는 구조입니다. 그렇게 되면 효율성은 아주 높을 것이지만 다른 플랫폼으로의 이식성이나 확장성에 한계가 있기 마련입니다."
마이크로 커널이란?,"마이크로 커널은 프로세스간 통신, 메모리관리, 클럭인터럽트 처리와 CPU 스캐줄링 등 아주 핵심기능만을 커널에 포함시키고 나머지는 서버 형태로 두어 사용자 모드의 프로세스로 수행시킵니다. 따라서 응용 프로그램으로부터 파일 입출력이나 장치 입출력을 위하여 시스템 콜이 들어오면 프로세스간 통신을 통해 다른 다른 프로세스 즉, 파일 시스템 서버나 디바이스 드라이버 수행 프로세스로 메시지를 보내주는 형태입니다"
논리주소란?,실행중인프로그램관점에서의논리적주소이다.
물리주소란?,프로그램이실제로탑재된메인메모리의주소이다.
주소결속이란?,논리주소가물리주소로확정되는것이다.
컴파일시점결속이란?,컴파일러가물리주소를생성하는것이다.
적재시점결속이란?,프로그램이메인메모리에적재될때물리적주소로변환하는것이다.
실행시점결속이란?,논리주소인채로적재한후MMU를통해물리주소를확정하는것이다.
MMU란?,하드웨어장치메모리관리장치이다.
분할방법이란?,메모리공간을여러개로분할하는방법이다.
페이징이란?,페이지테이블을사용하여논리적공간을물리적공간으로대응시키는방법이다.
세그먼테이션이란?,가변크기를가진자료구조들의집합을말한다.
가상메모리란?,프로그램에실제메모리주소가아닌가상의메모리주소를주는방식이다.
고정분할은?,각메모리공간을고정된크기로나누는것이다.
가변분할은?,메모리전체를하나의연속된공간으로보고적절한위치에프로그램을적재해주는방식이다.
페이지테이블이란?,페이징기법에서논리주소를물리주소로대응시키기위한주소변환테이블이다.
단편화란?,메모리공간이작게나뉘어져공간은있지만사용이불가능한상태이다.
내부단편화란?,필요이상의메모리가할당되어메모리공간이낭비되는상황이다.
외부단편화란?,메모리중간에사용하지않는메모리때문에공간은충분하지만사용할수없는상황이다.
,
메모리 경영 기법의 종류는?,분할방법과 페이징 그리고 가상메모리가있다.
,
직접 입출력 방식의 단점은?,"대용량의 입출력을 위한 장치 (예: 하드디스크) 에 사용하기에 적절하지 않습니다. 블록의 단위가 보통 512바이트라고 볼 때 고속 입출력을 위해서는 블록 단위로 인터럽트를 처리해야지, 한 블록의 입출력을 위해 512번의 인터럽트를 처리할 수는 없는 노릇이기 때문입니다."
폴링 방식의 단점은?,폴링 방식은 보통 busy-waiting의 경우로 계속 루프를 돌아서 CPU 시간을 낭비합니다. 
캐시의 장점은?,캐쉬는 메인 메모리와 레지스터 사이에 위치하여 속도와 용량간에 불균형을 해소하여 속도는 빠르고 용량은 크게 보이도록 할 수 있습니다. 
모노리틱 커널의 장점은?,모노리틱 커널의 장점은 커널이 하나로 되어 있어 시스템 콜의 서비스가 빠르다는 점이 되겠습니다.
모노리틱 커널의 단점은?,"단점으로는 새로운 하드웨어 플랫폼에 대한 이식성이 떨어지고, 한 부분에서 발생한 문제가 시스템 전체에 영향을 줄 수 있다는 점과, 구성요소들 간의 의존성이 높아져 디버깅이 어려워질 수 있다는 점 등을 들 수 있겠습니다."
마이크로 커널의 장점은?,"마이크로 커널의 장점은 커널에 핵심부분만 담고 나머지는 응용 프로그램으로 수행하는 구조이기 때문에 유연성이 좋고, 한 부분에서 발생한 오류가 시스템 전체로 확산되지 않는다는 점입니다. 또한 커널이 소형화 되어 있고 서버들 중에 필요한 부분만 골라서 제품을 구성할 수 있기 때문에 소형의 내장형 시스템에 활용하기에 유리하다는 점도 장점에 해당됩니다."
마이크로 커널의 단점은?,단점으로는 파일서비스 등에 있어서 프로세스의 문맥교환과 메시지 전송이 빈번해져서 속도가 느려질 수 있는 등 전반적으로 성능이 저하 될 수 있다는 점이 단점으로 거론될 수 있겠습니다.
,
실행시점결속의 장점은?,재배치와 부분적재가 가능해 메모리경영의 유연성이 높아지는 장점이 있다.
분할방법의 단점은?,외부단편화가 발생할 수 있다는 단점이 있다.
페이징의 단점은?,페이지 테이블이 추가로 필요하다.
페이징의 장점은?,단편화 문제가 없고 페이지의 공유와 보호가 가능하다. 
가상메모리의 장점은?,메모리활용도가높아진다.
,
논리주소물리주소의 차이는?,논리주소는 프로그램 내의 주소이고 물리주소는 탑재 된 메인메모리의 주소이다.
트랩인터럽트의 차이는?,"인터럽트는 하드웨어적인 흐름의 변화이고 트랩은 소프트웨어적이라 할 수 있습니다. 인터럽트는 장치 폴링 문제 해결을 위해 입출력 장치의 완료 신호로 사용할 수 있고, 트랩은 운영체제 루틴을 호출하거나 산술 오류를 잡아내는데 사용할 수 있습니다."
